1,25475,16
2,25475,10751
3,25475,12
4,25475,14
5,290859,878
6,290859,28
7,290859,12
8,345887,28
9,345887,53
10,345887,80
11,340382,27
12,340382,878
13,340382,28
14,340382,14
15,775996,53
16,775996,28
17,775996,878
18,897424,878
19,897424,27
20,897424,53
21,3170,16
22,3170,18
23,3170,10751
24,297762,28
25,297762,12
26,297762,14
27,9769,18
28,263115,28
29,263115,18
30,263115,878
31,619297,28
32,619297,53
33,619297,18
34,851303,18
35,851303,35
36,851303,10749
37,634429,18
38,634429,28
39,634429,878
40,433422,28
41,433422,12
42,433422,35
43,433422,14
44,433422,16
45,933886,35
46,652837,16
47,652837,18
48,652837,10749
49,335984,878
50,335984,18
51,736545,10749
52,736545,35
53,136797,28
54,136797,80
55,136797,18
56,136797,53
57,176,27
58,176,9648
59,176,80
