1,436270,28
2,436270,14
3,436270,878
4,882598,27
5,882598,9648
6,882598,53
7,505642,28
8,505642,12
9,505642,878
10,966220,18
11,966220,28
12,966220,10752
13,663712,27
14,663712,53
15,676701,12
16,676701,16
17,676701,35
18,676701,10751
19,676701,14
20,829280,9648
21,829280,12
22,829280,80
23,675054,27
24,675054,28
25,675054,35
26,862965,80
27,862965,18
28,862965,9648
29,862965,53
30,979924,53
31,948276,28
32,948276,18
33,948276,53
34,985939,53
35,49046,10752
36,49046,18
37,49046,28
38,760161,27
39,760161,53
40,732459,28
41,732459,14
42,896485,28
43,896485,80
44,896485,53
45,717728,27
46,717728,53
47,717728,9648
48,833097,10749
49,833097,35
50,856245,9648
51,856245,14
52,856245,53
53,551271,36
54,551271,28
55,551271,18
56,642885,14
57,642885,35
58,642885,10751
59,807356,9648
60,807356,53
61,807356,27
62,532639,14
63,532639,12
64,532639,10751
65,1037858,16
66,1037858,35
67,1037858,10751
68,616037,14
69,616037,28
70,616037,35
71,830788,27
72,830788,53
73,779782,14
74,779782,28
75,779782,18
76,361743,28
77,361743,18
78,634649,28
79,634649,12
80,634649,878
81,718930,28
82,718930,35
83,718930,53
84,1033107,80
85,1033107,18
86,507086,12
87,507086,28
88,507086,878
89,944864,28
90,944864,80
91,944864,53
92,575322,878
93,960704,28
94,960704,12
95,960704,14
96,766507,53
97,766507,28
98,766507,878
99,829799,80
100,829799,28
101,829799,53
102,420634,27
103,420634,53
104,848058,18
105,848058,53
106,848058,27
107,610150,16
108,610150,878
109,610150,28
110,37707,27
111,37707,878
112,37707,53
113,900667,16
114,900667,12
115,900667,28
116,900667,14
117,438148,16
118,438148,35
119,438148,10751
120,76600,878
121,76600,28
122,76600,12
123,852046,18
124,852046,28
125,852046,53
126,675353,28
127,675353,12
128,675353,10751
129,675353,35
130,19995,28
131,19995,12
132,19995,14
133,19995,878
134,848526,53
135,848526,18
136,453395,14
137,453395,28
138,453395,12
139,477462,27
140,477462,9648
141,284054,28
142,284054,12
143,284054,878
144,928123,10752
145,928123,36
146,928123,28
147,928123,18
148,760741,53
149,760741,12
150,760741,27
151,916605,53
152,916605,9648
153,539681,16
154,539681,28
155,539681,10751
156,539681,35
157,539681,878
158,744276,10749
159,744276,18
160,664469,80
161,664469,35
162,664469,36
163,664469,9648
164,664469,53
165,780609,27
166,780609,53
167,780609,14
168,1040603,99
169,635302,16
170,635302,28
171,635302,12
172,635302,14
173,791155,10751
174,791155,28
175,791155,12
176,791155,35
177,791155,878
178,820067,16
179,820067,35
180,820067,10749
